doctor_id,name,clinic_id,appointment_duration_in_minutes
D000000530,Dr. Xin Chen,155,15
D000000531,Dr. Michelle Rahman,155,20
D000000532,Dr. Grace Yap,156,15
D000000533,Dr. Benjamin Teo,156,20
D000000534,Dr. Priya Yap,156,15
D000000535,Dr. James Koh,156,15
D000000536,Dr. Yan Ng,156,15
D000000537,Dr. Hui Soh,157,15
D000000538,Dr. Ming Chng,157,15
D000000539,Dr. Kumar Koh,158,15
D000000540,Dr. Kevin Krishnan,158,15
D000000541,Dr. Steven Wong,159,20
D000000542,Dr. Priya Hassan,159,15
D000000543,Dr. Ng Ho,160,15
D000000544,Dr. Linda Rahman,160,15
D000000545,Dr. Tan Koh,160,20
D000000546,Dr. Nicole Tay,160,20
D000000547,Dr. Emily Sim,161,30
D000000548,Dr. Rachel Goh,161,20
D000000549,Dr. Chen Ng,161,20
D000000550,Dr. Rachel Krishnan,162,15
D000000551,Dr. Rajesh Low,162,20
D000000552,Dr. Linda Tay,162,30
D000000553,Dr. Jennifer Chen,162,20
D000000554,Dr. Yan Goh,163,15
D000000555,Dr. Rachel Tan,163,30
D000000556,Dr. Chen Ali,164,20
D000000557,Dr. Steven Goh,164,15
D000000558,Dr. Michael Ong,164,15
D000000559,Dr. Robert Wong,164,15
D000000560,Dr. Jennifer Chua,165,15
D000000561,Dr. Rajesh Sim,165,20
D000000562,Dr. Benjamin Kumar,165,15
D000000563,Dr. Wong Chua,165,30
D000000564,Dr. Daniel Krishnan,166,15
D000000565,Dr. Michael Ali,166,20
D000000566,Dr. Wei Chen,167,15
D000000567,Dr. Emily Singh,167,15
D000000568,Dr. Michael Soh,168,15
D000000569,Dr. Michelle Ong,168,15
D000000570,Dr. Rachel Lim,169,15
D000000571,Dr. Robert Ong,169,15
D000000572,Dr. Nicole Lee,169,20
D000000573,Dr. Lim Teo,169,15
D000000574,Dr. Sarah Chen,169,20
D000000575,Dr. Jun Low,170,15
D000000576,Dr. Ong Low,170,15
D000000577,Dr. Jun Ong,170,20
D000000578,Dr. Sarah Chen,170,15
D000000579,Dr. Xin Wong,170,15
D000000580,Dr. Yan Hassan,171,15
D000000581,Dr. Michelle Chng,171,15
D000000582,Dr. Jennifer Koh,172,15
D000000583,Dr. Li Ong,172,15
D000000584,Dr. Ong Ng,172,15
D000000585,Dr. Grace Kumar,172,15
D000000586,Dr. Jing Goh,173,20
D000000587,Dr. Michelle Goh,173,30
D000000588,Dr. Wei Teo,173,15
D000000589,Dr. Andrew Koh,173,15
D000000590,Dr. Nicole Sim,174,15
D000000591,Dr. Andrew Tan,174,15
D000000592,Dr. Benjamin Sim,175,15
D000000593,Dr. Jennifer Ho,175,15
D000000594,Dr. Xin Goh,175,15
D000000595,Dr. Rajesh Lim,176,15
D000000596,Dr. Tan Rahman,176,15
D000000597,Dr. Jessica Low,176,20
D000000598,Dr. Marcus Ang,176,15
D000000599,Dr. Kumar Tan,177,15
D000000600,Dr. Wei Low,177,15
D000000601,Dr. Jing Yap,177,15
D000000602,Dr. Priya Goh,177,15
D000000603,Dr. Michael Goh,177,15
D000000604,Dr. Mary Chen,178,15
D000000605,Dr. David Rahman,178,15
D000000606,Dr. Michelle Lee,179,15
D000000607,Dr. Ming Krishnan,179,15
D000000608,Dr. Amanda Tay,179,15
D000000609,Dr. Chen Nair,179,20
D000000610,Dr. Marcus Chua,180,15
D000000611,Dr. Robert Wong,180,15
D000000612,Dr. Grace Tan,180,30
D000000613,Dr. Xin Tan,180,20
D000000614,Dr. Nicole Lee,180,15
D000000615,Dr. Amanda Chng,181,15
D000000616,Dr. Wong Hassan,181,15
D000000617,Dr. Daniel Yeo,181,15
D000000618,Dr. Steven Tay,181,15
D000000619,Dr. John Nair,181,15
D000000620,Dr. Xin Ang,182,15
D000000621,Dr. Chen Krishnan,182,20
D000000622,Dr. James Rahman,182,15
D000000623,Dr. Chen Yeo,182,30
D000000624,Dr. Jessica Ali,182,15
D000000625,Dr. James Tan,183,20
D000000626,Dr. Jessica Ng,183,15
D000000627,Dr. John Wong,183,15
D000000628,Dr. Hui Yeo,183,15
D000000629,Dr. Jennifer Kumar,184,15
D000000630,Dr. Emily Sim,184,15
D000000631,Dr. Jessica Yeo,184,15
D000000632,Dr. Lim Kumar,184,30
D000000633,Dr. Li Yap,185,15
D000000634,Dr. Jessica Goh,185,15
D000000635,Dr. Tan Chen,186,15
D000000636,Dr. Mary Kumar,186,20
D000000637,Dr. Ng Goh,186,15
D000000638,Dr. Jessica Teo,187,15
D000000639,Dr. David Ho,187,15
D000000640,Dr. Ong Ang,188,15
D000000641,Dr. Jessica Lim,188,15
D000000642,Dr. Nicole Ong,188,15
D000000643,Dr. Amanda Sim,188,30
D000000644,Dr. Michael Lee,188,15
D000000645,Dr. Yan Singh,189,20
D000000646,Dr. Priya Low,189,15
D000000647,Dr. Ming Soh,189,20
D000000648,Dr. John Hassan,189,15
D000000649,Dr. Linda Goh,190,20
D000000650,Dr. Rui Ong,190,15
D000000651,Dr. Xin Ang,190,15
D000000652,Dr. Emily Wong,190,15
D000000653,Dr. Rachel Ali,190,20
D000000654,Dr. Goh Tan,191,15
D000000655,Dr. Amanda Rahman,191,15
D000000656,Dr. Michael Rahman,191,15
D000000657,Dr. Wong Soh,191,15
D000000658,Dr. Amanda Kumar,192,15
D000000659,Dr. Tan Lee,192,15
D000000660,Dr. James Chen,193,15
D000000661,Dr. Kumar Ng,193,15
D000000662,Dr. Xin Low,193,15
D000000663,Dr. Sarah Chong,194,15
D000000664,Dr. John Kumar,194,15
D000000665,Dr. Jessica Krishnan,195,15
D000000666,Dr. Michelle Lee,195,20
D000000667,Dr. Lim Yeo,196,15
D000000668,Dr. Marcus Kumar,196,15
D000000669,Dr. Sarah Singh,196,20
D000000670,Dr. Teo Chua,196,20
D000000671,Dr. Jennifer Wong,196,15
D000000672,Dr. Priya Chng,197,30
D000000673,Dr. Marcus Ho,197,15
D000000674,Dr. Yan Lim,197,15
D000000675,Dr. Chen Lee,198,30
D000000676,Dr. Jing Tan,198,15
D000000677,Dr. Sarah Chng,198,15
D000000678,Dr. Rachel Tan,198,20
D000000679,Dr. Jessica Koh,198,15
D000000680,Dr. Michelle Chen,199,15
D000000681,Dr. David Teo,199,20
D000000682,Dr. Ming Ong,199,30
D000000683,Dr. Benjamin Ong,199,15
D000000684,Dr. Priya Chua,199,15
